Departamento,Municipio,Codigo_DANE,Tipo_ruralidad
Caquetá,Belén de Los Andaquíes,18094,Rural
Caquetá,Curillo,18205,Rural
Caquetá,El Doncello,18247,Rural
Caquetá,El Paujil,18256,Rural
Caquetá,Puerto Rico,18592,Rural
Caquetá,San José del Fragua,18610,Rural
Caquetá,San Vicente del Caguán,18753,Rural
Caquetá,Solita,18785,Rural
Caquetá,Valparaíso,18860,Rural
Casanare,Monterrey,85162,Rural
Casanare,Pore,85263,Rural
Casanare,Recetor,85279,Rural
Casanare,Villanueva,85440,Rural
Cauca,Almaguer,19022,Rural
Cauca,Balboa,19075,Rural
Cauca,Bolívar,19100,Rural
Cauca,Buenos Aires,19110,Rural
Cauca,Cajibío,19130,Rural
Cauca,Caldono,19137,Rural
Cauca,Caloto,19142,Rural
Cauca,Guapi,19318,Rural
Cauca,La Argentina,41378,Rural
Cauca,Nátaga,41483,Rural
Cauca,Oporapa,41503,Rural
Cauca,Paicol,41518,Rural
Cauca,Palermo,41524,Rural
Cauca,Palestina,41530,Rural
Cauca,Rivera,41615,Rural
Cauca,San Agustín,41668,Rural
Cauca,Tarqui,41791,Rural
Cauca,Tello,41799,Rural
Cauca,Teruel,41801,Rural
Cauca,Tesalia,41797,Rural
Cauca,Villavieja,41872,Rural
Cauca,Yaguará,41885,Rural
La Guajira,Albania,44035,Rural
La Guajira,Barrancas,44078,Rural
La Guajira,El Molino,44110,Rural
La Guajira,La Jagua del Pilar,44420,Rural
La Guajira,San Juan del Cesar,44650,Rural
Magdalena,Algarrobo,47030,Rural
Magdalena,Ariguaní,47058,Rural
