departamento,anio,tasa_desercion
Vaupés,2014,0.06666666666666667
Vichada,2014,0.21359223300970873
Departamento de oferta del programa,2014,2014.0
Amazonas,2014,0.30210325047801145
Antioquia,2014,0.13652257399220075
Arauca,2014,0.18107833163784334
"Archipiélago De San Andrés, Providencia Y Santa Catalina",2014,0.06995884773662552
Atlántico,2014,0.13808250572956454
Bogotá D.C.,2014,0.15315750050416294
Bolívar,2014,0.14529647793134196
Boyacá,2014,0.09258496395468589
Caldas,2014,0.11682290091724624
Caquetá,2014,0.1659919028340081
Casanare,2014,0.2492427520553873
Cauca,2014,0.13178548070634402
Cesar,2014,0.06769300430156215
Chocó,2014,0.12445223488168274
Córdoba,2014,0.06310336708264658
Cundinamarca,2014,0.09243553987136434
Guainía,2014,0.171875
Guaviare,2014,0.10384894698620188
Huila,2014,0.14738182396944136
La Guajira,2014,0.14285714285714285
Magdalena,2014,0.15519957983193278
Meta,2014,0.19354153388570214
Nariño,2014,0.1402974983096687
Norte De Santander,2014,0.1295170737098022
Putumayo,2014,0.18914381645215445
Quindío,2014,0.15492957746478872
Risaralda,2014,0.1203342618384401
Santander,2014,0.17275504782146653
Sucre,2014,0.13842619184376795
Tolima,2014,0.2086473319631575
Valle Del Cauca,2014,0.1511959150765923
Vaupés,2014,0.02564102564102564
Vichada,2014,0.18007662835249041
Departamento de oferta del programa,2014,2014.0
Amazonas,2014,0.02127659574468085
Antioquia,2014,0.1493844049247606
Arauca,2014,0.2857142857142857
"Archipiélago De San Andrés, Providencia Y Santa Catalina",2014,0.13953488372093023
Atlántico,2014,0.20236450176569937
Bogotá D.C.,2014,0.2133286932312511
Bolívar,2014,0.23769685039370078
Boyacá,2014,0.027675276752767528
Caldas,2014,0.1189710610932476
Caquetá,2014,0.2127659574468085
Casanare,2014,0.2604166666666667
Cauca,2014,0.1885245901639344
Cesar,2014,0.19117647058823528
Chocó,2014,0.0625
Córdoba,2014,0.12316715542521994
Cundinamarca,2014,0.06742738589211618
Huila,2014,0.19767441860465115
La Guajira,2014,0.31863979848866497
Magdalena,2014,0.18622656886715566
Meta,2014,0.13307240704500978
Nariño,2014,0.2073170731707317
Norte De Santander,2014,0.1281216069489685
Putumayo,2014,0.2727272727272727
Quindío,2014,0.23067253299811438
Risaralda,2014,0.16833976833976835
Santander,2014,0.23574631646380526
Sucre,2014,0.0967238689547582
Tolima,2014,0.23462986198243413
Valle Del Cauca,2014,0.20767569363681676
Vichada,2014,0.3684210526315789
Departamento de oferta del programa,2014,2014.0
Amazonas,2014,0.32983193277310924
Antioquia,2014,0.1359401328179205
Arauca,2014,0.18032786885245902
"Archipiélago De San Andrés, Providencia Y Santa Catalina",2014,0.060653188180404355
Atlántico,2014,0.10907075046774305
Bogotá D.C.,2014,0.13327647994480749
Bolívar,2014,0.13609177370330425
Boyacá,2014,0.09642233856893542
Caldas,2014,0.11659991099243436
Caquetá,2014,0.16414141414141414
Casanare,2014,0.24875846501128668
Cauca,2014,0.13102076889085285
Cesar,2014,0.06377014716187807
Chocó,2014,0.1334002006018054
Córdoba,2014,0.05161290322580645
Cundinamarca,2014,0.09388738331827763
Guainía,2014,0.171875
Guaviare,2014,0.10384894698620188
Huila,2014,0.14522821576763487
La Guajira,2014,0.09180687637161668
