departamento,anio,tasa_desercion,depto_key,prop_superior_mean,estrato_pred_mean,rural_share,n_municipios
Chocó,2015,0.11335823779466701,CHOCO,0.02743359440448714,1.0333333333333334,0.36666666666666664,30.0
Córdoba,2015,0.09412365431258245,CORDOBA,0.04971569469632795,1.0,0.5121951219512195,41.0
Cundinamarca,2015,0.08110958759624512,CUNDINAMARCA,0.04923662809977724,1.9894736842105263,0.2608695652173913,115.0
Guainía,2015,0.21935483870967742,GUAINIA,0.05536403750689465,1.0,0.0,9.0
Guaviare,2015,0.21991701244813278,GUAVIARE,0.024847517606317905,1.0,0.25,4.0
Huila,2015,0.09515765765765766,HUILA,0.0305849857924782,1.391304347826087,0.4444444444444444,27.0
Magdalena,2015,0.07206284153005464,MAGDALENA,0.033375645385512194,1.0,0.6,30.0
Meta,2015,0.10255487585462396,META,0.03700554004522973,1.44,0.4,30.0
Nariño,2015,0.08279673749731702,NARINO,0.026479308399941046,1.0444444444444445,0.4528301886792453,53.0
Putumayo,2015,0.2623115577889447,PUTUMAYO,0.04371840735626026,1.0,0.4166666666666667,12.0
Quindío,2015,0.07014524678185448,QUINDIO,0.054162557111810034,1.9166666666666667,0.25,12.0
Risaralda,2015,0.07922124173954335,RISARALDA,0.04291154952843301,2.142857142857143,0.0,14.0
Santander,2015,0.07406419015086821,SANTANDER,0.04121791563152944,1.7076923076923076,0.2828282828282828,99.0
Sucre,2015,0.10518621114188981,SUCRE,0.04313395171061328,1.0,0.3076923076923077,26.0
Tolima,2015,0.10146729669236508,TOLIMA,0.059172724607157126,1.9,0.35714285714285715,14.0
Vaupés,2015,0.0,VAUPES,0.03940380651968481,1.0,0.0,6.0
Vichada,2015,0.23655913978494625,VICHADA,0.05201590233380985,1.0,0.0,21.0
Amazonas,2015,0.2618384401114206,AMAZONAS,0.03170675400527576,1.5,0.09090909090909091,11.0
